Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Christian McCaffrey,Sam Darnold,Chuba Hubbard,Davis Mills,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,RB2,QB,K,60000,81.56000113487244,64289-55050,64289-63589,64289-87467,64289-89628,64289-56378
Christian McCaffrey,Sam Darnold,Robby Anderson,Chris Conley,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,WR2,WR3,55000,81.53294215482823,64289-55050,64289-63589,64289-26251,64289-30403,64289-41936
Christian McCaffrey,Robby Anderson,Brandon Zylstra,Davis Mills,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,WR2,WR4,QB,K,55500,81.53000116348268,64289-55050,64289-26251,64289-82731,64289-89628,64289-56378
Christian McCaffrey,DJ Moore,Robby Anderson,Davis Mills,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,WR1,WR2,QB,WR3,59000,81.43294225019568,64289-55050,64289-63043,64289-26251,64289-89628,64289-41936
Christian McCaffrey,Sam Darnold,Terrace Marshall Jr.,Dan Arnold,Joey Slye,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR3,TE1,K,57500,81.33000135421753,64289-55050,64289-63589,64289-85672,64289-80546,64289-56378
Christian McCaffrey,Brandon Zylstra,Zane Gonzalez,Davis Mills,David Johnson,CAR,CAR,CAR,HOU,HOU,RB1,WR4,K,QB,RB2,54000,81.28000116348268,64289-55050,64289-82731,64289-39369,64289-89628,64289-62497
Christian McCaffrey,Robby Anderson,Brandon Zylstra,Davis Mills,David Johnson,CAR,CAR,CAR,HOU,HOU,RB1,WR2,WR4,QB,RB2,54500,81.03000116348268,64289-55050,64289-26251,64289-82731,64289-89628,64289-62497
Christian McCaffrey,Sam Darnold,Terrace Marshall Jr.,Dan Arnold,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR3,TE1,RB2,56500,80.83000135421753,64289-55050,64289-63589,64289-85672,64289-80546,64289-62497
Christian McCaffrey,Sam Darnold,Terrace Marshall Jr.,Mark Ingram II,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR3,RB1,WR2,59000,80.78000116348268,64289-55050,64289-63589,64289-85672,64289-14211,64289-30403
Christian McCaffrey,Sam Darnold,Robby Anderson,Dan Arnold,Chris Conley,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,TE1,WR2,57000,80.6800012588501,64289-55050,64289-63589,64289-26251,64289-80546,64289-30403
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Chris Conley,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,WR2,TE2,53000,80.63000071048738,64289-55050,64289-63589,64289-82731,64289-30403,64289-57338
